FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
0083	Hummer, r�	Lobster, raw	A0267 A0460 A0634 A0717 A0727 A0750 A0802 B1950 C0173 E0150 F0003 G0003 H0001 J0003 K0003 M0001 N0001 P0024	
0084	Hummer, konserves	Lobster, canned	A0267 A0460 A0634 A0717 A0727 A0750 A0803 B1950 C0125 E0151 F0014 G0003 H0367 J0123 K0017 M0194 N0001 P0024	
0085	Hvedekim, r�	Wheat germ, raw	A0149 A0457 A0631 A0683 A0696 A0729 A0814 B1312 C0182 E0100 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
0086	Hvedeklid	Wheat bran	A0125 A0457 A0631 A0683 A0696 A0729 A0814 B1312 C0288 E0117 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0087	Hvedemel, beriget	Wheat flour, enriched	A0125 A0457 A0631 A0683 A0693 A0729 A0813 B1230 C0134 E0106 F0003 G0003 H0138 H0162 H0181 H0309 H0310 J0116 K0003 M0001 N0001 P0024	
0088	Hvidk�l, r�	Cabbage, white, raw	A0152 A0455 A0629 A0650 A0705 A0731 A0826 B1406 C0151 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0089	Hvidl�g, r�	Garlic, raw	A0113 A0455 A0629 A0650 A0705 A0731 A0826 B1233 C0240 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
0090	Hvidl�g, t�rret, pulver	Garlic, dried, powder	A0152 A0455 A0629 A0705 A0731 A0757 A0827 B1233 C0240 E0106 F0003 G0003 H0138 J0116 K0003 M0136 N0040 P0024	
0091	Hvidvin, medium	Wine, white, medium	A0299 A0465 A0639 A0662 A0712 A0734 A0849 B1329 C0140 E0123 F0003 G0003 H0232 J0100 J0104 K0003 M0130 N0040 P0024	
0092	Hvidvin, s�d	Wine, white, sweet	A0299 A0465 A0639 A0662 A0712 A0734 A0849 B1329 C0167 E0123 F0003 G0003 H0232 J0100 J0104 K0003 M0130 N0040 P0024	
0093	Hvidvin, t�r	Wine, white, dry	A0299 A0465 A0639 A0662 A0712 A0734 A0849 B1329 C0140 E0123 F0003 G0003 H0232 J0100 J0104 K0003 M0130 N0040 P0024	
0094	Hyben, r�	Rose hip, raw	A0143 A0455 A0629 A0649 A0707 A0732 A0833 B1225 C0140 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
0095	Hyben pulver, t�rret	Rose hip, dried, powder	A0143 A0455 A0629 A0707 A0732 A0756 A0834 B1225 C0139 E0106 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
0096	Hyldeb�r, r�	Elderberry, raw	A0143 A0455 A0629 A0671 A0707 A0732 A0833 B1403 C0140 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0097	H�ne, k�d, r�	Chicken, hen, flesh only	A0273 A0459 A0633 A0715 A0726 A0741 A0795 B1713 C0268 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0098	H�ne, k�d og skind, r�	Chicken, hen, flesh and skin, raw	A0273 A0459 A0633 A0715 A0726 A0741 A0795 B1713 C0267 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0099	Ising, r�	Dab, raw	A0267 A0460 A0634 A0717 A0727 A0747 A0802 B1860 C0268 E0150 F0003 G0003 H0001 J0131 K0003 M0001 N0001 P0024	
