FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
43155	ALCOHOLIC BEV,WINE,LT	Alcoholic beverage, wine, light	A0298 A0849 A1284 B1329 C0140 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0132 P0188 R0001 Z0112	
14084	ALCOHOLIC BEV,WINE,TABLE,ALL	Alcoholic beverage, wine, table, all	A0299 A0849 A1284 B1329 C0167 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14096	ALCOHOLIC BEV,WINE,TABLE,RED	Alcoholic beverage, wine, table, red	A0299 A0849 A1284 B1329 C0140 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14101	ALCOHOLIC BEV,WINE,TABLE,RED,BARBERA	Alcoholic Beverage, wine, table, red, Barbera	A0299 A0849 A1284 B1329 C0140 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14152	ALCOHOLIC BEV,WINE,TABLE,RED,BURGUNDY	Alcoholic Beverage, wine, table, red, Burgundy	A0299 A0849 A1284 B1329 C0140 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14098	ALCOHOLIC BEV,WINE,TABLE,RED,CABERNET FRANC	Alcoholic Beverage, wine, table, red, Cabernet Franc	A0299 A0849 A1284 B1329 C0140 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14097	ALCOHOLIC BEV,WINE,TABLE,RED,CABERNET SAUVIGNON	Alcoholic Beverage, wine, table, red, Cabernet Sauvignon	A0299 A0849 A1284 B1329 C0140 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14109	ALCOHOLIC BEV,WINE,TABLE,RED,CARIGNANE	Alcoholic Beverage, wine, table, red, Carignane	A0299 A0849 A1284 B1329 C0140 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14105	ALCOHOLIC BEV,WINE,TABLE,RED,CLARET	Alcoholic Beverage, wine, table, red, Claret	A0299 A0849 A1284 B1329 C0140 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14158	ALCOHOLIC BEV,WINE,TABLE,RED,GAMAY	Alcoholic Beverage, wine, table, red, Gamay	A0299 A0849 A1284 B1329 C0140 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14107	ALCOHOLIC BEV,WINE,TABLE,RED,LEMBERGER	Alcoholic Beverage, wine, table, red, Lemberger	A0299 A0849 A1284 B1329 C0140 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14602	ALCOHOLIC BEV,WINE,TABLE,RED,MERLOT	Alcoholic Beverage, wine, table, red, Merlot	A0299 A0849 A1284 B1329 C0140 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14159	ALCOHOLIC BEV,WINE,TABLE,RED,MOUVEDRE	Alcoholic Beverage, wine, table, red, Mouvedre	A0299 A0849 A1284 B1329 C0140 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14103	ALCOHOLIC BEV,WINE,TABLE,RED,PETITE SIRAH	Alcoholic Beverage, wine, table, red, Petite Sirah	A0299 A0849 A1284 B1329 C0140 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14099	ALCOHOLIC BEV,WINE,TABLE,RED,PINOT NOIR	Alcoholic Beverage, wine, table, red, Pinot Noir	A0299 A0849 A1284 B1329 C0140 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14108	ALCOHOLIC BEV,WINE,TABLE,RED,SANGIOVESE	Alcoholic Beverage, wine, table, red, Sangiovese	A0299 A0849 A1284 B1329 C0140 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14100	ALCOHOLIC BEV,WINE,TABLE,RED,SYRAH	Alcoholic Beverage, wine, table, red, Syrah	A0299 A0849 A1284 B1329 C0140 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14102	ALCOHOLIC BEV,WINE,TABLE,RED,ZINFANDEL	Alcoholic Beverage, wine, table, red, Zinfandel	A0299 A0849 A1284 B1329 C0140 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14106	ALCOHOLIC BEV,WINE,TABLE,WHITE	Alcoholic beverage, wine, table, white	A0299 A0849 A1284 B1329 C0167 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14160	ALCOHOLIC BEV,WINE,TABLE,WHITE,CHARDONNAY	Alcoholic beverage, wine, table, white, Chardonnay	A0299 A0849 A1284 B1329 C0167 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14116	ALCOHOLIC BEV,WINE,TABLE,WHITE,CHENIN BLANC	Alcoholic beverage, wine, table, white, Chenin Blanc	A0299 A0849 A1284 B1329 C0167 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14117	ALCOHOLIC BEV,WINE,TABLE,WHITE,FUME BLANC	Alcoholic beverage, wine, table, white, Fume Blanc	A0299 A0849 A1284 B1329 C0167 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14124	ALCOHOLIC BEV,WINE,TABLE,WHITE,GEWURZTRAMINER	Alcoholic beverage, wine, table, white, Gewurztraminer	A0299 A0849 A1284 B1329 C0167 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14135	ALCOHOLIC BEV,WINE,TABLE,WHITE,LATE HARVEST	Alcoholic beverage, wine, table, white, late harvest	A0299 A0849 A1284 B1329 C0167 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14125	ALCOHOLIC BEV,WINE,TABLE,WHITE,LATE HARVEST,GEWURZTRAMINER	Alcoholic beverage, wine, table, white, late harvest, Gewurztraminer	A0299 A0849 A1284 B1329 C0167 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14120	ALCOHOLIC BEV,WINE,TABLE,WHITE,MULLER THURGAU	Alcoholic beverage, wine, table, white, Muller Thurgau	A0299 A0849 A1284 B1329 C0167 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14140	ALCOHOLIC BEV,WINE,TABLE,WHITE,MUSCAT	Alcoholic beverage, wine, table, white, Muscat	A0299 A0849 A1284 B1329 C0167 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14138	ALCOHOLIC BEV,WINE,TABLE,WHITE,PINOT BLANC	Alcoholic beverage, wine, table, white, Pinot Blanc	A0299 A0849 A1284 B1329 C0167 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14113	ALCOHOLIC BEV,WINE,TABLE,WHITE,PINOT GRIS (GRIGIO)	Alcoholic beverage, wine, table, white, Pinot Gris (Grigio)	A0299 A0849 A1284 B1329 C0167 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14132	ALCOHOLIC BEV,WINE,TABLE,WHITE,RIESLING	Alcoholic beverage, wine, table, white, Riesling	A0299 A0849 A1284 B1329 C0167 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14134	ALCOHOLIC BEV,WINE,TABLE,WHITE,SAUVIGNON BLANC	Alcoholic beverage, wine, table, white, Sauvignon Blanc	A0299 A0849 A1284 B1329 C0167 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14126	ALCOHOLIC BEV,WINE,TABLE,WHITE,SEMILLON	Alcoholic beverage, wine, table, white, Semillon	A0299 A0849 A1284 B1329 C0167 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
