FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
680	Okra rauw	Okra raw	A0152 A0705 A0826 B1241 C0169 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
308	Olie arachide-	Oil peanut	A0129 A0700 A0806 B1337 C0190 E0139 F0014 G0003 H0001 J0003 K0003 M0001 N0001 P0024	
606	Olie Becel-	Oil Becel	A0700 A0806 B1017	
312	Olie mais-	Oil corn	A0129 A0700 A0806 B1379 C0190 E0139 F0014 G0003 H0001 J0003 K0003 M0001 N0001 P0024	
608	Olie maiskiem-	Oil corn germ	A0129 A0700 A0806 B1379 C0190 E0139 F0014 G0003 H0001 J0003 K0003 M0001 N0001 P0024	
601	Olie olijf-	Oil olive	A0129 A0700 A0806 B1299 C0190 E0139 F0022 G0003 H0001 J0003 K0003 M0001 N0001 P0024	
607	Olie saffloer-	Oil safflower	A0129 A0700 A0806 B1548 C0190 E0139 F0014 G0003 H0001 J0003 K0003 M0001 N0001 P0024	
313	Olie soja-	Oil soy	A0129 A0700 A0806 B1452 C0190 E0139 F0022 G0003 H0001 J0003 K0003 M0001 N0001 P0024	
317	Olie zonnebloem-	Oil sunflower seed	A0129 A0700 A0806 B1547 C0190 E0139 F0022 G0003 H0001 J0003 K0003 M0001 N0001 P0024	
474	Oliebol	Doughnut Dutch style	A0821 B1312	
137	Olijven blik/glas	Olives canned/glass	A0257 A0707 A0833 B1299 C0137 E0150 F0014 G0003 H0001 J0120 K0011 M0130 M0151 N0003 P0024 Z0219	
2222	Ontbijtkoekreep Happers	Dutch spiced honey cake bar Happers	A0821 B1313	
2224	Ontbijtkoekreep Kapitein Koek	Dutch spiced honey cake Kapitein Koek	A0821 B1313	
1991	Ontbijtprod Bambix Groeipap 8 granen	Breakfast prod Bambix Groeipap 8 granen	A0258 A0692 A0816 B1324	
224	Ontbijtprod Bambix Groeipap fijne granen	Breakfast prod Bambix Groeipap fijne gr	A0258 A0692 A0816 B1324	
1990	Ontbijtprod Bambix Smulpap appel-honing	Breakfast prod Bambix Smulpap appel-hon	A0258 A0692 A0816 B1324	
1989	Ontbijtprod Bambix Smulpap peer-banaan	Breakfast prod Bambix Smulpap peer-ban	A0258 A0692 A0816 B1324	
1804	Ontbijtprod Molenaar 7-granen-energie ontbijt	Breakfast product 7 cereals energy	A0258 A0692 A0816 B1324	
591	Ontbijtproduct All Bran Kellogg's	Breakfast cereal All Bran Kellogg's	A0258 A0692 A0816 B1312 C0135 E0153 F0014 G0003 H0100 H0138 H0158 H0181 H0216 H0274 H0309 H0310 H0311 J0116 K0003 M0155 N0001 P0024	
1992	Ontbijtproduct Bambix beren crisps 2 jr Nutricia	Breakfast prod Bambix bear crisps	A0258 A0692 A0816 B1324	
1338	Ontbijtproduct Bambix Groeipap volkoren	Breakfast prod Bambix Groeipap volkoren	A0258 A0692 A0816 B1324	
2022	Ontbijtproduct Bambix sterren crisps Nutricia	Breakfast prod Bambix sterren crisps	A0258 A0692 A0816 B1324	
225	Ontbijtproduct Brinta	Breakfast cereal Brinta	A0258 A0692 A0816 B1324 C0155 E0153 F0014 G0003 H0138 H0274 J0116 K0003 M0155 N0001 P0024	
2000	Ontbijtproduct Choco Cornflakes Kellogg's	Breakfast prod Choco Cornflakes Kellogg'	A0258 A0692 A0816 B1379	
2002	Ontbijtproduct Choco Pops Kellogg's	Breakfast prod Choco Pops Kellogg's	A0258 A0692 A0816 B1322	
2081	Ontbijtproduct cornflakes	Breakfast cereal cornflakes	A0258 A0692 A0816 B1379 C0155 E0153 F0014 G0003 H0100 H0138 H0158 H0274 J0116 K0003 M0155 N0001 P0024	
209	Ontbijtproduct Cornflakes Kellogg's	Corn flakes Kellogg's	A0258 A0692 A0816 B1379 C0155 E0153 F0014 G0003 H0100 H0138 H0158 H0181 H0216 H0274 H0309 H0310 H0311 J0116 K0003 M0155 N0001 P0024	
1999	Ontbijtproduct Frosties Kellogg's	Breakfast product Frosties Kellogg's	A0258 A0692 A0816 B1379	
2004	Ontbijtproduct Fruit 'n Fibre Kellogg's	Breakfast product Fruit 'n Fibre Kellogg	A0258 A0692 A0816 B1312	
1337	Ontbijtproduct gemengde granen Nutrix Nutricia	Breakfast mixed cereals Nutrix Nutricia	A0258 A0692 A0816 B1324	
2001	Ontbijtproduct Honey Nut Cornflakes Kellogg's	Breakfast prod Honey Nut Cornflakes	A0258 A0692 A0816 B1379	
529	Ontbijtproduct kleuter- Happy		A0258 A0692 A0816 B1324	
2007	Ontbijtproduct Loops Kellogg's	Breakfast product Loops Kellogg's	A0258 A0692 A0816 B1324	
2003	Ontbijtproduct Raisin Bran Kellogg's	Breakfast product Raisin Bran Kellogg's	A0258 A0692 A0816 B1312	
653	Ontbijtproduct Rice Krispies Kellogg's	Breakfast cereal Rice Krispies Kellogg's	A0258 A0692 A0816 B1322	
